age,sex,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12
45,m,3,4,4,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3
41,m,1,4,3,3,3,3,4,3,4,4,3,2,2,3,3,3,3,2,3,3,4,4,2,2
48,m,3,4,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,2,2,3,3,3,3,3
55,m,2,2,2,4,4,4,4,3,3,4,4,2,2,2,2,2,4,4,4,4,3,4,4,4
25,m,1,4,3,4,3,2,2,2,4,3,2,2,2,2,2,3,2,2,3,2,4,3,2,2
50,m,4,4,3,2,4,3,4,2,2,4,2,2,4,4,2,3,3,2,3,4,2,2,2,2
57,m,2,3,3,2,4,4,4,4,2,2,4,4,4,3,4,2,4,4,4,4,2,3,4,4
40,m,3,4,3,2,3,2,3,4,4,4,3,2,3,4,3,3,3,2,3,4,4,4,4,3
52,m,3,4,4,3,4,2,3,4,3,4,4,3,3,3,3,2,3,3,2,3,3,4,3,3
45,m,4,4,4,2,4,3,4,3,4,4,3,2,4,4,4,2,4,3,4,3,4,4,3,2
55,m,2,4,4,4,5,3,4,4,2,2,4,3,4,5,5,1,4,4,4,5,1,2,4,4
51,m,2,4,2,2,4,3,4,4,2,4,4,2,2,4,2,2,4,3,4,4,2,4,4,2
51,m,2,4,2,2,4,3,4,4,2,4,4,2,2,4,2,2,4,3,4,4,2,4,4,2
55,m,4,4,4,3,2,2,4,4,2,4,3,2,4,4,3,2,2,2,4,4,2,4,4,2
51,m,2,4,2,2,4,3,4,4,2,4,4,3,2,4,2,2,4,3,4,4,2,4,4,2
31,m,2,2,3,2,2,2,4,3,2,3,2,1,3,2,2,2,4,3,3,4,3,2,2,3
56,m,2,4,2,2,4,2,4,3,2,4,2,2,2,4,2,3,4,2,4,2,4,4,2,2
46,m,4,5,4,2,4,5,4,4,4,4,5,3,4,5,5,2,4,4,4,4,4,4,4,4
55,m,4,4,4,2,2,3,4,3,3,4,2,2,4,4,4,2,2,3,4,3,2,4,3,3
29,m,4,4,4,4,3,3,3,4,3,4,4,4,3,3,3,3,2,3,4,4,4,3,3,3
43,m,2,4,4,4,2,2,2,2,4,4,2,2,4,4,4,4,2,2,4,4,4,4,2,2
53,m,4,4,4,2,4,4,4,4,3,3,3,3,4,4,4,2,4,4,4,4,3,3,3,3
40,m,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3
56,m,4,4,3,2,4,3,3,4,3,4,2,2,2,2,2,2,4,2,2,2,3,4,2,2
55,m,3,3,3,2,4,3,4,4,3,3,4,3,3,3,3,2,4,3,4,4,3,3,4,3
87,m,4,4,4,3,4,3,4,4,2,3,3,2,4,4,4,2,4,3,4,4,2,3,4,3
45,m,3,4,3,2,5,3,4,4,3,4,4,3,3,3,3,2,5,3,4,4,3,3,4,3
58,m,1,1,1,3,3,2,4,3,2,4,3,2,1,1,1,4,3,2,4,3,2,4,3,2
53,m,3,4,2,2,4,3,4,4,2,3,4,4,3,4,3,2,4,3,4,4,2,3,4,4
44,m,3,3,2,2,3,3,4,4,2,4,3,2,4,3,2,2,3,3,4,4,2,4,3,2
58,m,1,1,1,3,1,5,1,5,2,1,4,1,1,1,1,1,3,5,1,5,2,5,5,1
45,m,3,2,2,3,4,3,4,4,2,4,4,2,3,4,4,2,4,4,4,4,2,4,4,3
30,m,2,2,3,2,1,3,3,1,2,3,3,2,2,3,3,3,2,2,3,3,3,2,2,3
70,m,1,1,1,4,4,4,4,3,3,3,4,3,2,2,2,4,4,4,4,4,2,3,4,4
24,m,3,2,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
65,m,4,4,4,4,3,2,3,4,3,3,3,3,4,4,4,4,3,2,3,3,3,4,3,3
37,m,3,4,4,2,3,4,4,3,3,3,3,4,3,4,4,2,3,4,3,4,3,3,4,4
50,m,4,4,4,2,2,2,2,4,3,3,3,3,4,4,4,2,4,2,4,3,3,3,3,3
52,m,3,3,1,2,4,4,3,4,2,3,4,2,2,2,2,3,4,2,4,3,2,3,3,2
45,m,2,2,2,2,4,3,4,4,2,4,4,3,3,3,3,2,3,3,3,3,3,3,3,3
38,m,3,4,5,3,3,3,4,5,2,3,4,3,4,4,4,3,4,4,5,5,2,3,4,3
56,m,4,5,4,1,4,4,5,4,2,2,4,3,4,2,2,1,4,4,4,4,1,4,4,3
58,m,4,4,3,2,4,4,4,4,3,3,3,3,3,2,2,2,4,3,3,3,3,3,3,2
48,m,2,3,3,2,4,3,4,2,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4
58,m,3,2,3,4,3,2,3,2,3,4,2,1,2,3,3,4,3,2,3,3,3,4,2,2
54,m,4,4,4,3,4,2,4,4,4,2,4,2,4,4,2,2,2,4,4,4,2,2,4,3
48,m,3,4,2,2,4,4,4,4,3,2,4,3,3,2,2,2,4,4,4,4,3,3,4,3
54,m,3,2,2,3,2,2,2,2,3,2,2,2,2,2,2,3,3,2,2,2,2,3,3,2
38,m,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,2,2
46,f,2,2,2,4,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3
31,f,5,5,5,4,2,2,2,2,2,4,2,2,5,5,5,4,2,2,2,2,2,4,2,2
37,f,4,5,3,2,3,2,2,2,1,4,3,2,4,4,3,2,3,2,2,2,2,4,3,2
41,f,2,1,1,2,3,3,3,4,2,4,4,2,1,2,1,3,3,3,4,4,2,4,3,2
51,f,4,4,4,4,2,2,2,4,4,4,4,2,4,4,4,4,2,2,4,4,4,4,4,2
25,f,4,4,4,2,4,2,2,2,3,2,2,2,4,4,4,2,4,2,3,2,3,2,2,2
51,f,2,2,2,3,4,3,4,4,2,3,4,3,2,2,2,3,4,3,3,4,2,3,4,2
42,f,3,4,4,2,4,3,4,3,4,4,4,2,3,4,4,4,4,3,3,3,3,3,4,4
53,f,3,3,4,2,4,3,4,4,3,4,4,3,3,4,4,2,4,3,4,4,3,3,4,3
49,f,4,4,4,3,4,3,3,4,3,3,3,3,4,3,4,3,4,3,3,3,3,3,4,3
43,f,1,1,1,3,4,3,4,4,2,4,4,2,1,1,1,2,3,3,4,4,2,4,4,2
25,f,4,4,4,2,4,4,4,4,2,3,4,3,4,4,4,2,4,3,4,4,2,4,4,4
30,f,4,4,4,3,3,2,4,4,2,3,4,2,2,2,1,3,3,3,4,4,1,3,4,2
43,f,4,4,3,2,3,3,4,4,2,3,4,3,3,3,3,3,3,3,4,4,2,4,4,3
45,f,2,4,2,3,3,2,2,2,5,4,3,2,2,4,2,3,2,2,2,2,5,4,2,3
50,f,3,4,3,2,3,3,3,3,3,4,2,3,3,3,2,3,3,3,3,3,3,3,3,3
45,f,2,3,2,3,3,2,2,3,3,4,2,2,2,2,2,2,3,2,4,4,4,4,2,2
70,f,2,2,2,3,3,3,4,4,2,4,3,2,2,2,2,2,4,3,4,4,2,4,4,2
40,f,4,2,2,2,4,3,4,4,3,4,4,2,4,2,2,2,4,3,4,3,2,4,4,2
57,f,2,3,3,2,5,4,3,4,3,2,4,3,2,3,3,2,4,4,3,4,3,3,4,3
73,f,2,2,2,3,2,2,3,4,4,4,4,2,2,2,2,3,3,2,3,2,4,4,4,2
61,f,3,4,4,3,4,4,4,4,3,3,3,2,3,3,3,2,4,4,4,3,3,4,3,2
39,f,4,5,5,2,4,3,4,4,2,2,4,3,2,2,2,3,3,4,2,2,4,4,2,2
54,f,2,3,3,3,4,4,4,4,2,3,4,3,3,3,3,2,4,3,4,4,2,3,4,3
58,f,2,2,2,3,2,3,4,4,2,4,4,3,2,2,2,3,3,2,4,4,3,3,3,2
48,f,4,4,4,4,3,3,4,4,2,2,3,2,3,4,4,3,3,2,2,2,2,2,3,3
57,f,4,4,4,2,4,3,4,3,2,4,4,3,4,4,4,2,4,4,4,4,2,4,4,4
48,f,3,2,3,2,4,3,4,4,2,3,4,3,4,3,3,2,4,3,4,4,2,4,4,3
37,f,5,5,4,2,4,4,4,4,2,4,4,3,2,4,4,4,4,4,4,4,4,2,2,2
56,f,4,5,2,2,3,3,4,4,2,3,4,3,4,4,4,2,3,3,4,4,2,2,4,3
55,f,4,4,4,2,3,4,5,4,3,3,4,4,4,4,4,2,4,4,5,5,3,3,4,4
36,f,4,3,3,2,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,2,3,4,3
54,f,4,4,2,2,2,2,3,2,3,4,4,2,2,2,2,4,2,2,2,2,4,4,2,2
50,f,4,3,4,2,4,4,4,4,4,3,4,3,2,2,3,3,3,3,3,4,4,4,4,3
24,f,4,4,4,3,3,3,3,3,2,4,3,2,3,4,3,2,3,3,4,3,2,3,3,3
31,f,4,4,4,2,2,2,4,5,1,4,3,2,2,2,2,4,3,2,4,4,2,4,3,1
53,f,2,5,4,2,4,4,4,4,5,2,4,4,3,4,4,3,4,4,4,4,5,3,4,4
32,f,4,4,4,2,4,3,4,3,2,4,3,2,4,4,4,2,4,3,4,4,2,4,4,2
36,f,5,4,4,2,4,4,4,4,2,3,4,3,4,4,3,2,4,3,4,4,2,3,4,3
27,f,5,5,5,3,4,3,3,4,2,3,4,2,4,3,3,2,4,4,4,5,2,3,4,2
47,f,1,1,1,2,4,2,4,1,2,4,2,2,2,1,1,2,4,2,4,1,2,5,2,2
43,f,2,3,2,2,4,3,4,4,2,4,3,3,2,4,4,2,4,3,4,4,2,3,4,2
43,f,2,4,3,2,4,2,3,3,4,3,3,2,2,3,3,2,4,3,3,2,2,3,2,2
45,f,3,4,3,2,4,4,4,4,3,3,4,3,2,2,2,2,4,3,4,4,2,2,4,4
49,f,3,2,2,2,4,4,3,4,3,3,3,2,2,2,3,3,4,3,4,3,2,4,3,4
33,f,2,4,3,2,2,2,2,2,3,2,2,1,1,4,3,2,2,2,2,2,2,2,2,1
33,f,3,3,4,3,3,3,4,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3
37,f,4,4,4,3,4,3,3,4,4,2,3,4,3,4,4,2,3,3,3,4,3,3,3,3
62,f,4,4,3,2,3,3,3,3,3,3,3,2,4,4,3,3,3,3,3,3,3,3,3,2
36,f,4,4,3,3,3,3,3,4,3,4,3,3,3,3,2,2,3,3,4,4,3,3,4,3
54,m,4,4,3,2,4,4,3,4,2,3,4,3,2,3,3,4,4,3,4,4,2,3,4,3
33,m,4,3,4,3,3,3,3,3,3,3,3,2,4,3,3,3,3,3,3,3,3,3,3,2
39,m,5,5,5,1,5,3,3,1,5,3,3,3,5,5,5,3,3,3,1,1,5,5,1,1
57,f,3,3,3,3,3,2,2,2,3,4,3,2,3,3,3,3,3,2,2,2,3,4,2,2
48,m,2,4,3,3,3,3,4,4,3,4,3,3,3,3,3,3,4,3,4,4,3,4,4,3
37,f,4,4,4,2,4,4,4,4,2,2,4,4,4,4,4,2,4,4,4,4,2,2,4,4
48,m,2,3,3,4,3,3,3,4,2,4,4,2,3,3,3,4,3,2,4,4,2,4,4,2
34,m,5,4,3,3,1,3,4,4,3,3,3,3,4,3,3,2,3,3,4,4,2,3,4,3
59,m,4,4,3,2,4,4,4,4,3,4,4,4,3,3,4,2,4,3,4,4,3,3,4,4
49,m,2,4,4,3,3,4,4,4,2,4,4,4,4,4,3,2,4,4,4,4,3,4,4,3
61,f,1,2,2,2,3,3,4,4,3,4,3,2,1,2,2,3,3,2,4,3,2,4,4,3
44,m,2,4,2,2,4,4,4,4,1,2,4,4,4,4,4,1,4,4,4,4,1,2,4,4
50,m,4,3,4,3,3,4,3,4,5,3,2,2,4,4,3,3,3,3,2,3,5,3,2,2
36,m,3,4,4,2,4,3,4,4,3,4,4,3,4,4,4,2,4,4,4,5,2,4,4,3
35,m,2,4,4,3,4,4,4,3,4,4,3,3,3,5,4,3,4,3,3,3,3,4,3,3
52,f,4,4,2,2,4,3,5,4,3,3,4,2,4,2,2,3,4,2,4,4,2,4,4,2
50,f,2,2,3,3,3,2,3,4,4,4,4,3,2,3,3,2,4,3,4,4,3,3,3,3
56,m,3,4,4,2,4,3,4,4,3,3,4,3,3,4,4,3,3,3,4,4,3,3,4,3
49,m,3,4,4,4,4,4,3,3,3,3,4,4,4,4,4,3,4,3,3,3,3,3,4,4
55,f,3,2,4,2,3,3,4,3,3,3,2,2,3,3,2,2,3,3,3,2,3,3,3,2
44,m,5,4,4,3,3,2,4,2,4,4,2,2,2,4,2,2,3,2,2,2,4,4,2,2
38,f,4,4,3,2,4,3,3,4,4,3,4,4,4,4,4,2,4,3,4,4,4,2,4,4
50,m,3,3,3,3,3,1,3,3,1,3,3,1,3,3,3,3,3,1,3,3,3,3,3,1
37,m,2,3,3,3,4,3,4,3,2,4,3,3,2,3,3,3,4,3,4,3,2,4,3,3
51,m,3,3,4,2,4,4,3,3,2,3,3,2,3,3,4,3,2,2,3,3,3,4,3,2
48,f,4,4,4,2,4,4,4,4,2,3,4,3,4,4,4,2,4,4,4,4,2,3,4,4
43,m,4,4,3,2,4,4,3,4,2,3,2,3,4,3,4,4,2,3,4,4,3,4,3,4
55,m,2,3,2,1,4,4,4,4,1,2,4,4,2,3,2,1,4,4,4,4,1,2,4,4
40,m,1,1,1,2,4,4,4,4,2,2,4,4,2,2,2,2,4,4,3,3,2,2,3,4
58,f,3,4,4,3,4,3,4,4,3,3,4,3,4,4,4,3,4,3,3,4,3,4,3,3
45,m,4,4,5,1,5,5,5,4,3,1,5,5,4,4,4,1,5,5,4,4,3,1,5,5
25,f,3,3,3,4,3,3,3,3,4,4,4,4,4,3,3,3,4,4,4,3,4,4,4,3
43,m,4,4,3,4,4,4,3,4,3,3,3,3,2,5,5,5,4,4,4,4,5,5,4,4
44,m,1,1,1,5,1,1,1,1,5,4,1,1,1,1,1,5,1,1,1,1,5,4,1,1
50,m,3,3,2,3,3,3,4,4,3,3,3,2,2,2,2,3,3,3,4,4,3,3,4,2
58,m,4,5,3,1,4,3,4,4,2,4,4,3,4,4,4,2,4,3,4,4,2,4,4,3
61,m,5,4,4,3,4,3,3,4,3,2,3,3,2,2,2,4,2,2,2,2,4,4,2,2
40,f,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,2,2,3,4,3,2,2,2,2
40,m,4,4,4,4,4,3,3,3,3,3,3,3,4,4,3,4,3,3,4,4,4,3,4,4
49,m,4,4,4,2,4,4,4,4,2,2,4,3,4,4,4,2,4,4,4,4,2,2,4,3
50,f,3,4,4,2,5,4,4,3,3,2,4,4,4,4,4,2,4,4,3,3,3,2,4,4
65,m,3,2,3,4,2,2,2,2,4,4,2,2,2,2,2,4,2,2,2,2,4,4,2,2
58,m,3,3,4,2,4,4,4,4,3,3,3,4,3,3,4,2,4,4,3,3,3,2,4,4
