age,sex,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q_Behavior
31,m,2,3,3,3,2,2,3,3,3,4,3,2,2,2,3,3,2,2,2,3,3,2,2,2,2
30,f,4,4,4,2,4,4,3,4,2,3,3,2,4,4,4,2,4,4,4,4,2,3,4,4,4
49,m,2,3,2,4,3,2,3,2,3,5,3,2,2,2,2,4,2,2,2,2,3,5,2,2,3
43,m,2,2,2,4,2,2,2,2,4,4,2,2,2,2,2,4,2,2,2,2,4,4,2,2,2
39,f,3,3,2,2,4,4,4,4,2,3,4,4,3,2,2,2,4,4,4,4,2,2,4,4,3
60,m,2,2,2,2,4,3,4,4,2,3,4,3,2,2,2,2,4,3,4,4,2,3,4,2,4
50,m,3,4,4,2,4,4,4,4,3,3,3,3,4,4,4,2,4,3,4,4,3,3,4,3,3
44,m,4,4,4,4,2,2,3,3,3,3,3,2,1,1,3,3,2,2,3,3,3,4,2,2,1
49,m,2,2,2,2,4,2,4,4,2,4,4,2,2,2,2,3,4,2,4,4,2,4,4,2,3
46,m,2,1,2,2,4,2,4,3,2,4,4,2,2,2,1,2,4,2,4,4,2,4,2,2,2
49,m,3,4,3,4,4,2,4,4,3,4,4,2,3,4,4,3,3,2,4,3,3,4,3,2,3
31,m,4,4,4,3,3,2,3,3,3,4,2,2,4,4,4,4,2,2,3,2,3,4,2,2,2
36,m,4,4,3,4,2,3,2,4,2,4,4,3,2,3,2,4,3,2,3,3,3,4,3,2,3
44,m,3,4,3,3,3,3,3,3,3,3,2,2,2,2,2,3,4,3,2,2,3,4,2,2,2
42,m,4,4,3,2,4,3,4,4,2,3,4,3,4,4,4,2,4,4,4,4,2,3,4,4,4
24,m,3,2,2,1,4,4,5,3,2,2,4,5,2,3,2,1,4,5,4,3,2,4,4,5,3
32,f,2,2,2,4,3,2,4,4,2,4,4,2,2,2,2,4,2,2,4,4,2,3,4,2,2
40,m,4,3,4,2,3,4,4,4,3,3,4,3,4,3,3,2,4,3,4,4,3,3,4,4,2
30,m,2,4,4,3,3,4,3,3,4,4,3,4,3,2,3,3,4,4,3,4,3,3,4,4,4
47,m,4,2,2,4,2,2,2,2,4,4,1,1,2,2,2,4,2,2,2,2,4,4,2,2,2
46,m,3,2,2,2,3,4,4,4,2,2,3,3,2,2,2,3,3,3,3,4,2,4,3,3,3
53,m,2,2,2,2,2,2,4,3,2,3,2,2,2,2,2,3,2,3,3,4,3,3,3,2,4
38,m,2,3,4,2,4,3,4,4,4,3,3,2,4,4,4,2,4,3,4,4,4,3,4,3,4
57,m,3,4,3,2,4,4,4,4,2,3,4,3,2,2,2,2,4,4,4,4,2,3,4,3,3
22,m,2,3,3,2,3,3,4,4,2,3,4,3,2,2,2,2,3,3,4,4,2,3,3,2,4
60,m,3,3,3,3,4,4,4,3,3,3,3,4,3,4,4,3,3,3,4,4,4,3,3,3,3
44,m,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4
38,m,4,4,3,2,4,4,3,2,3,2,4,4,4,4,3,2,4,4,3,3,3,2,4,4,3
74,m,2,2,2,4,3,3,4,4,4,4,4,2,2,2,2,3,4,3,4,3,4,4,3,2,4
49,m,4,4,4,2,4,4,3,4,3,4,4,4,3,3,2,2,4,3,3,4,3,4,4,4,4
41,m,3,3,3,3,3,3,3,3,3,4,3,2,3,3,3,3,3,2,4,3,3,4,3,3,2
47,m,4,4,4,2,4,3,4,4,2,2,4,3,3,4,4,2,4,3,4,4,2,3,4,2,3
38,f,2,3,2,3,3,2,4,4,4,3,4,4,2,2,2,4,3,2,2,3,3,4,3,3,3
47,f,2,2,2,3,2,2,2,2,3,4,2,3,2,2,2,4,3,2,2,3,3,4,2,3,1
61,m,1,1,1,3,3,2,3,3,4,3,3,2,2,2,2,4,3,2,2,2,3,3,2,2,2
55,f,1,2,2,3,3,2,3,3,3,4,3,2,2,2,2,2,2,2,2,2,4,4,2,1,2
45,f,4,2,4,3,4,3,4,4,2,2,4,3,2,3,2,2,4,3,4,4,2,3,4,2,2
45,f,1,1,1,5,1,1,4,5,2,5,1,1,1,1,1,5,1,1,4,4,2,5,1,1,1
41,f,3,4,3,2,4,4,4,3,2,2,3,3,2,2,2,3,2,2,2,3,3,4,2,2,3
36,m,2,4,2,4,2,2,2,4,2,4,2,2,2,4,2,4,2,2,2,4,2,4,2,2,4
54,f,2,2,2,4,4,4,4,4,2,3,4,4,2,2,2,2,4,4,4,4,2,3,4,4,4
32,f,4,2,2,3,2,2,2,4,2,3,4,2,2,2,2,4,2,2,3,4,2,4,2,1,3
54,f,4,4,4,2,4,4,4,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3
42,f,3,3,3,2,4,3,4,4,3,3,4,2,3,3,3,2,4,3,4,4,3,3,4,3,3
30,f,3,2,2,2,4,3,4,4,2,4,2,2,2,2,2,3,3,2,4,4,2,4,2,2,2
53,f,3,3,3,2,4,3,3,3,3,3,4,3,3,3,3,2,4,3,3,3,3,3,3,3,4
54,f,3,4,4,3,3,3,3,4,4,3,3,2,2,3,3,4,3,3,2,3,4,3,3,3,3
36,f,4,3,2,2,4,3,3,3,2,3,3,3,3,3,2,3,3,3,2,3,2,4,3,3,3
48,f,1,1,2,3,3,2,2,3,4,4,2,2,1,1,1,1,1,1,1,1,5,5,2,1,4
47,f,3,4,2,2,3,4,3,4,3,3,4,3,2,3,3,3,3,3,4,3,3,3,3,3,2
55,f,4,4,4,2,4,4,4,4,3,3,4,3,4,4,4,2,4,4,4,4,2,3,4,3,4
38,f,4,4,4,2,4,3,4,4,3,4,4,2,4,4,4,4,4,2,3,4,3,4,4,2,2
47,f,3,3,4,2,3,4,4,3,2,3,4,3,3,3,4,2,4,3,4,2,4,3,4,3,2
53,f,4,3,3,2,4,3,4,4,3,3,4,2,3,2,2,3,4,3,4,4,3,4,4,1,3
47,f,4,4,3,2,4,3,4,4,3,3,4,4,3,2,2,2,4,3,4,4,3,2,4,3,3
36,f,3,3,3,2,4,4,4,3,3,3,3,2,2,3,3,3,4,3,3,3,3,3,3,3,2
51,m,1,1,1,2,3,3,4,4,2,3,2,3,3,2,2,2,4,3,4,4,2,3,2,3,4
49,f,3,2,2,2,3,2,3,3,3,3,3,2,2,2,2,3,3,2,3,3,3,4,2,2,3
71,m,2,2,2,3,3,2,3,3,3,4,3,3,3,2,2,3,3,3,4,3,3,4,3,3,4
53,f,4,4,2,4,4,4,4,4,3,3,3,3,3,2,3,2,4,3,4,3,3,3,4,2,3
35,f,2,2,3,2,2,3,4,4,3,2,3,2,3,3,3,2,4,4,4,4,2,3,3,3,4
54,f,2,2,2,1,4,4,5,4,3,2,5,4,4,4,3,2,5,4,4,4,2,3,4,4,5
51,f,2,2,2,3,4,2,3,3,3,4,2,2,2,2,2,2,3,2,2,3,3,4,2,2,4
41,f,4,5,4,3,4,3,4,4,4,4,4,2,4,2,2,3,3,2,4,4,5,4,4,1,2
38,f,4,4,4,2,4,4,4,4,2,2,4,3,2,4,3,2,4,4,4,4,2,2,4,2,2
45,f,4,3,2,1,5,4,4,4,2,3,4,3,4,3,4,1,5,3,4,4,3,4,4,3,4
41,f,4,3,3,3,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
42,m,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,2,4,4,4,4
